content_tape_id,content_tape_detail_name,tape_duration_sec,segment_no,Start_seconds,month,day,dow,hour,Reach
13202,Zcn Bhagam Bhag (U - Govinda),638,1,30084,6,30,6,8,0.2382
13202,Zcn Bhagam Bhag (U - Govinda),853,2,30722,6,30,6,8,0.3071
13202,Zcn Bhagam Bhag (U - Govinda),630,3,31575,6,30,6,8,0.2243
13202,Zcn Bhagam Bhag (U - Govinda),662,4,32205,6,30,6,8,0.29895
13202,Zcn Bhagam Bhag (U - Govinda),764,5,32867,6,30,6,9,0.38955
13202,Zcn Bhagam Bhag (U - Govinda),700,6,33631,6,30,6,9,0.41645
13202,Zcn Bhagam Bhag (U - Govinda),736,7,34331,6,30,6,9,0.44685
13202,Zcn Bhagam Bhag (U - Govinda),632,8,35067,6,30,6,9,0.45795
13202,Zcn Bhagam Bhag (U - Govinda),630,9,35699,6,30,6,9,0.45625
13202,Zcn Bhagam Bhag (U - Govinda),651,10,36329,6,30,6,10,0.4974
13202,Zcn Bhagam Bhag (U - Govinda),787,11,36980,6,30,6,10,0.60785
13202,Zcn Bhagam Bhag (U - Govinda),669,12,37767,6,30,6,10,0.549
13202,Zcn Bhagam Bhag (U - Govinda),703,13,38436,6,30,6,10,0.66775
7880,ZCN HUM SAATH SAATH HAIN (U-EDITED VERSI,1166.96,1,41894,6,30,6,11,0.99085
7880,ZCN HUM SAATH SAATH HAIN (U-EDITED VERSI,990.96,2,43060.96,6,30,6,11,0.94525
7880,ZCN HUM SAATH SAATH HAIN (U-EDITED VERSI,1327.96,3,44051.92,6,30,6,12,1.22075
7880,ZCN HUM SAATH SAATH HAIN (U-EDITED VERSI,691.96,4,45379.88,6,30,6,12,1.1297
7880,ZCN HUM SAATH SAATH HAIN (U-EDITED VERSI,832.96,5,46071.84,6,30,6,12,1.26935
7880,ZCN HUM SAATH SAATH HAIN (U-EDITED VERSI,853.96,6,46904.8,6,30,6,13,1.3845
7880,ZCN HUM SAATH SAATH HAIN (U-EDITED VERSI,881.96,7,47758.76,6,30,6,13,1.56445
7880,ZCN HUM SAATH SAATH HAIN (U-EDITED VERSI,826.96,8,48640.72,6,30,6,13,1.57155
7880,ZCN HUM SAATH SAATH HAIN (U-EDITED VERSI,923.96,9,49467.68,6,30,6,13,1.70325
7880,ZCN HUM SAATH SAATH HAIN (U-EDITED VERSI,910.96,10,50391.64,6,30,6,13,1.6969
7880,ZCN HUM SAATH SAATH HAIN (U-EDITED VERSI,719.96,11,51302.6,6,30,6,14,1.4035
3519,ZCN MAIN TERA HERO(U/A-EDIT VER)ZCN COPY,738.96,1,55105,6,30,6,15,1.11825
3519,ZCN MAIN TERA HERO(U/A-EDIT VER)ZCN COPY,816.96,2,55843.96,6,30,6,15,1.0213
3519,ZCN MAIN TERA HERO(U/A-EDIT VER)ZCN COPY,672.96,3,56660.92,6,30,6,15,0.94765
3519,ZCN MAIN TERA HERO(U/A-EDIT VER)ZCN COPY,754.96,4,57333.88,6,30,6,15,0.7186
3519,ZCN MAIN TERA HERO(U/A-EDIT VER)ZCN COPY,634.96,5,58088.84,6,30,6,16,0.8095
3519,ZCN MAIN TERA HERO(U/A-EDIT VER)ZCN COPY,775.96,6,58723.8,6,30,6,16,0.8563
3519,ZCN MAIN TERA HERO(U/A-EDIT VER)ZCN COPY,670.96,7,59499.76,6,30,6,16,0.71255
3519,ZCN MAIN TERA HERO(U/A-EDIT VER)ZCN COPY,804.96,8,60170.72,6,30,6,16,0.9058
3519,ZCN MAIN TERA HERO(U/A-EDIT VER)ZCN COPY,618.96,9,60975.68,6,30,6,16,0.7057
3519,ZCN MAIN TERA HERO(U/A-EDIT VER)ZCN COPY,775.96,10,61594.64,6,30,6,17,0.754
7094,ZCN WELCOME BACK(U/A-EDITED-WITH COMING,991,1,64581,6,30,6,17,0.77685
7094,ZCN WELCOME BACK(U/A-EDITED-WITH COMING,876,2,65572,6,30,6,18,0.7116
7094,ZCN WELCOME BACK(U/A-EDITED-WITH COMING,790,3,66448,6,30,6,18,0.622
7094,ZCN WELCOME BACK(U/A-EDITED-WITH COMING,893,4,67238,6,30,6,18,0.5931
7094,ZCN WELCOME BACK(U/A-EDITED-WITH COMING,744,5,68131,6,30,6,18,0.5523
7094,ZCN WELCOME BACK(U/A-EDITED-WITH COMING,633,6,68875,6,30,6,19,0.5654
7094,ZCN WELCOME BACK(U/A-EDITED-WITH COMING,698,7,69508,6,30,6,19,0.66715
7094,ZCN WELCOME BACK(U/A-EDITED-WITH COMING,585,8,70206,6,30,6,19,0.5668
7094,ZCN WELCOME BACK(U/A-EDITED-WITH COMING,676,9,70791,6,30,6,19,0.77235
7094,ZCN WELCOME BACK(U/A-EDITED-WITH COMING,624,10,71467,6,30,6,19,0.91435
7094,ZCN WELCOME BACK(U/A-EDITED-WITH COMING,516,11,72091,6,30,6,20,0.83295
7094,ZCN WELCOME BACK(U/A-EDITED-WITH COMING,422,12,72607,6,30,6,20,0.83105
3999,ZCN PHIR HERA PHERI (U-EDITED VERSION),916.28,1,75600,6,30,6,21,1.4864
3999,ZCN PHIR HERA PHERI (U-EDITED VERSION),908.76,2,76516.28,6,30,6,21,1.57045
3999,ZCN PHIR HERA PHERI (U-EDITED VERSION),886.24,3,77425.04,6,30,6,21,1.50455
3999,ZCN PHIR HERA PHERI (U-EDITED VERSION),907.88,4,78311.28,6,30,6,21,1.59615
3999,ZCN PHIR HERA PHERI (U-EDITED VERSION),911.72,5,79219.16,6,30,6,22,1.63785
3999,ZCN PHIR HERA PHERI (U-EDITED VERSION),988.84,6,80130.88,6,30,6,22,1.77405
3999,ZCN PHIR HERA PHERI (U-EDITED VERSION),892.64,7,81119.72,6,30,6,22,1.5044
3999,ZCN PHIR HERA PHERI (U-EDITED VERSION),763.12,8,82012.36,6,30,6,22,1.4986
3999,ZCN PHIR HERA PHERI (U-EDITED VERSION),956.12,9,82775.48,6,30,6,22,1.22055
3999,ZCN PHIR HERA PHERI (U-EDITED VERSION),823.28,10,83731.6,6,30,6,23,1.0301
