,content_tape_id,content_tape_detail_name,tape_duration_sec,segment_no,Start_seconds,month,day,dow,hour,Reach,end_sec
0,2014,ZCN MAHAVEER NO.1(V/UA-EDITED VERSION),731.96,1,25612,8,29,3,7,0.1331,
1,2014,ZCN MAHAVEER NO.1(V/UA-EDITED VERSION),608.96,2,26343,8,29,3,7,0.09025,
2,2014,ZCN MAHAVEER NO.1(V/UA-EDITED VERSION),658.96,3,26951,8,29,3,7,0.10065,
3,2014,ZCN MAHAVEER NO.1(V/UA-EDITED VERSION),655.96,4,27609,8,29,3,7,0.1031,
4,2014,ZCN MAHAVEER NO.1(V/UA-EDITED VERSION),803.96,5,28264,8,29,3,7,0.15945,
5,2014,ZCN MAHAVEER NO.1(V/UA-EDITED VERSION),850.96,6,29067,8,29,3,8,0.216,
6,2014,ZCN MAHAVEER NO.1(V/UA-EDITED VERSION),728.96,7,29917,8,29,3,8,0.25815,
7,2014,ZCN MAHAVEER NO.1(V/UA-EDITED VERSION),768.96,8,30645,8,29,3,8,0.2688,
8,2014,ZCN MAHAVEER NO.1(V/UA-EDITED VERSION),623.96,9,31413,8,29,3,8,0.2357,
9,2014,ZCN MAHAVEER NO.1(V/UA-EDITED VERSION),653.96,10,32036,8,29,3,8,0.2093,
10,2014,ZCN MAHAVEER NO.1(V/UA-EDITED VERSION),559.96,11,32689,8,29,3,9,0.3463,35585
11,13504,ZCN 14 BLADES ( V/UA - HINDI DUB ),758,1,35585,8,29,3,9,0.41435,
12,13504,ZCN 14 BLADES ( V/UA - HINDI DUB ),559,2,36343,8,29,3,10,0.46505,
13,13504,ZCN 14 BLADES ( V/UA - HINDI DUB ),831,3,36902,8,29,3,10,0.6357,
14,13504,ZCN 14 BLADES ( V/UA - HINDI DUB ),580,4,37733,8,29,3,10,0.4727,
15,13504,ZCN 14 BLADES ( V/UA - HINDI DUB ),849,5,38313,8,29,3,10,0.82675,
16,13504,ZCN 14 BLADES ( V/UA - HINDI DUB ),635,6,39162,8,29,3,10,0.56225,
17,13504,ZCN 14 BLADES ( V/UA - HINDI DUB ),586,7,39797,8,29,3,11,0.5845,
18,13504,ZCN 14 BLADES ( V/UA - HINDI DUB ),750,8,40383,8,29,3,11,0.70615,
19,13504,ZCN 14 BLADES ( V/UA - HINDI DUB ),761,9,41133,8,29,3,11,0.7649,43814
20,13534,ZCN GHOST RIDER-SPIRIT OF VENGEANCE(HIND,568,1,43814,8,29,3,12,0.77755,
21,13534,ZCN GHOST RIDER-SPIRIT OF VENGEANCE(HIND,635,2,44382,8,29,3,12,0.79155,
22,13534,ZCN GHOST RIDER-SPIRIT OF VENGEANCE(HIND,627,3,45017,8,29,3,12,0.81105,
23,13534,ZCN GHOST RIDER-SPIRIT OF VENGEANCE(HIND,666,4,45644,8,29,3,12,1.09435,
24,13534,ZCN GHOST RIDER-SPIRIT OF VENGEANCE(HIND,614,5,46310,8,29,3,12,1.05005,
25,13534,ZCN GHOST RIDER-SPIRIT OF VENGEANCE(HIND,678,6,46924,8,29,3,13,1.22565,
26,13534,ZCN GHOST RIDER-SPIRIT OF VENGEANCE(HIND,780,7,47602,8,29,3,13,1.3693,
27,13534,ZCN GHOST RIDER-SPIRIT OF VENGEANCE(HIND,612,8,48382,8,29,3,13,1.1129,50570
28,3780,ZCN SARDAAR GABBAR SINGH (U/A-PAWAN KALY,918,1,50570,8,29,3,14,1.5073,
29,3780,ZCN SARDAAR GABBAR SINGH (U/A-PAWAN KALY,928,2,51488,8,29,3,14,1.49795,
30,3780,ZCN SARDAAR GABBAR SINGH (U/A-PAWAN KALY,831,3,52416,8,29,3,14,1.4488,
31,3780,ZCN SARDAAR GABBAR SINGH (U/A-PAWAN KALY,906,4,53247,8,29,3,14,1.4984,
32,3780,ZCN SARDAAR GABBAR SINGH (U/A-PAWAN KALY,532,5,54153,8,29,3,15,0.9673,
33,3780,ZCN SARDAAR GABBAR SINGH (U/A-PAWAN KALY,590,6,54685,8,29,3,15,0.98135,
34,3780,ZCN SARDAAR GABBAR SINGH (U/A-PAWAN KALY,689,7,55275,8,29,3,15,1.40045,
35,3780,ZCN SARDAAR GABBAR SINGH (U/A-PAWAN KALY,672,8,55964,8,29,3,15,1.06465,
36,3780,ZCN SARDAAR GABBAR SINGH (U/A-PAWAN KALY,585,9,56636,8,29,3,15,1.0034,
37,3780,ZCN SARDAAR GABBAR SINGH (U/A-PAWAN KALY,519,10,57221,8,29,3,15,0.67075,
38,3780,ZCN SARDAAR GABBAR SINGH (U/A-PAWAN KALY,744,11,57740,8,29,3,16,0.7398,
39,3780,ZCN SARDAAR GABBAR SINGH (U/A-PAWAN KALY,454,12,58484,8,29,3,16,0.6995,61484
40,6337,ZCN INDRA-THE TIGER (U/A-EDITED SHORT VE,734.96,1,61484,8,29,3,17,0.7295,
41,6337,ZCN INDRA-THE TIGER (U/A-EDITED SHORT VE,710.96,2,62218,8,29,3,17,0.7498,
42,6337,ZCN INDRA-THE TIGER (U/A-EDITED SHORT VE,672.96,3,62928,8,29,3,17,0.70225,
43,6337,ZCN INDRA-THE TIGER (U/A-EDITED SHORT VE,671.96,4,63600,8,29,3,17,0.64925,
44,6337,ZCN INDRA-THE TIGER (U/A-EDITED SHORT VE,758.96,5,64271,8,29,3,17,0.73105,
45,6337,ZCN INDRA-THE TIGER (U/A-EDITED SHORT VE,683.96,6,65029,8,29,3,18,0.5445,
46,6337,ZCN INDRA-THE TIGER (U/A-EDITED SHORT VE,701.96,7,65712,8,29,3,18,0.60695,
47,6337,ZCN INDRA-THE TIGER (U/A-EDITED SHORT VE,641.96,8,66413,8,29,3,18,0.54535,
48,6337,ZCN INDRA-THE TIGER (U/A-EDITED SHORT VE,625.96,9,67054,8,29,3,18,0.57565,
49,6337,ZCN INDRA-THE TIGER (U/A-EDITED SHORT VE,580.96,10,67679,8,29,3,18,0.56115,
50,6337,ZCN INDRA-THE TIGER (U/A-EDITED SHORT VE,719.96,11,68259,8,29,3,18,0.62725,
51,6337,ZCN INDRA-THE TIGER (U/A-EDITED SHORT VE,557.96,12,68978,8,29,3,19,0.6976,72000
52,12683,Zcn Shiva The Super Hero3(V/Ua-Nagarjun),984,1,72000,8,29,3,20,1.34405,
53,12683,Zcn Shiva The Super Hero3(V/Ua-Nagarjun),896,2,72984,8,29,3,20,1.44685,
54,12683,Zcn Shiva The Super Hero3(V/Ua-Nagarjun),769,3,73880,8,29,3,20,1.2968,
55,12683,Zcn Shiva The Super Hero3(V/Ua-Nagarjun),652,4,74649,8,29,3,20,1.14405,
56,12683,Zcn Shiva The Super Hero3(V/Ua-Nagarjun),672,5,75301,8,29,3,20,1.2143,
57,12683,Zcn Shiva The Super Hero3(V/Ua-Nagarjun),561,6,75973,8,29,3,21,1.10045,
58,12683,Zcn Shiva The Super Hero3(V/Ua-Nagarjun),603,7,76534,8,29,3,21,1.53995,
59,12683,Zcn Shiva The Super Hero3(V/Ua-Nagarjun),585,8,77137,8,29,3,21,1.37955,
60,12683,Zcn Shiva The Super Hero3(V/Ua-Nagarjun),739,9,77722,8,29,3,21,1.41005,80452
61,11848,ZCN DESI BOYS(V/UA-EDITED VERSION)AKSHAY,613.68,1,80452,8,29,3,22,1.44305,
62,11848,ZCN DESI BOYS(V/UA-EDITED VERSION)AKSHAY,655.84,2,81065,8,29,3,22,1.4412,
63,11848,ZCN DESI BOYS(V/UA-EDITED VERSION)AKSHAY,659.04,3,81720,8,29,3,22,1.4545,
64,11848,ZCN DESI BOYS(V/UA-EDITED VERSION)AKSHAY,702.44,4,82379,8,29,3,22,1.2149,
65,11848,ZCN DESI BOYS(V/UA-EDITED VERSION)AKSHAY,681.08,5,83081,8,29,3,23,1.18725,
66,11848,ZCN DESI BOYS(V/UA-EDITED VERSION)AKSHAY,574.84,6,83762,8,29,3,23,1.07295,
67,11848,ZCN DESI BOYS(V/UA-EDITED VERSION)AKSHAY,702.36,7,84336,8,29,3,23,1.0139,
68,11848,ZCN DESI BOYS(V/UA-EDITED VERSION)AKSHAY,664.72,8,85038,8,29,3,23,0.7759,
69,11848,ZCN DESI BOYS(V/UA-EDITED VERSION)AKSHAY,733.12,9,85702,8,29,3,23,0.7588,
70,11848,ZCN DESI BOYS(V/UA-EDITED VERSION)AKSHAY,786.4,10,86435,8,29,3,24,0.41235,
